Dataset,Model,Temperature,Predicted Value
Lunches,LightGBM,31.28989898989899,960.9303096152281
Lunches,LightGBM,31.569949494949494,960.9303096152281
Lunches,LightGBM,31.85,960.9303096152281
Lunches,XGBoost,4.125,1071.5711669921875
Lunches,XGBoost,4.405050505050505,1071.5711669921875
Lunches,XGBoost,4.68510101010101,1071.5711669921875
Lunches,XGBoost,4.965151515151515,1071.5711669921875
Lunches,XGBoost,5.24520202020202,1076.660888671875
Lunches,XGBoost,5.525252525252525,1076.660888671875
Lunches,XGBoost,5.80530303030303,1079.982666015625
Lunches,XGBoost,6.085353535353535,1069.6353759765625
Lunches,XGBoost,6.365404040404041,1055.0604248046875
Lunches,XGBoost,6.6454545454545455,1037.98193359375
Lunches,XGBoost,6.92550505050505,1112.3245849609375
Lunches,XGBoost,7.205555555555556,1117.82275390625
Lunches,XGBoost,7.48560606060606,1077.6041259765625
Lunches,XGBoost,7.765656565656565,1087.7047119140625
Lunches,XGBoost,8.04570707070707,1128.5609130859375
Lunches,XGBoost,8.325757575757576,1078.605224609375
Lunches,XGBoost,8.605808080808082,1074.0670166015625
Lunches,XGBoost,8.885858585858585,1082.8831787109375
Lunches,XGBoost,9.165909090909091,1107.6387939453125
Lunches,XGBoost,9.445959595959597,1084.0758056640625
Lunches,XGBoost,9.7260101010101,1105.478759765625
Lunches,XGBoost,10.006060606060606,1114.3363037109375
Lunches,XGBoost,10.286111111111111,1092.049560546875
Lunches,XGBoost,10.566161616161615,1114.0958251953125
Lunches,XGBoost,10.84621212121212,1101.3531494140625
Lunches,XGBoost,11.126262626262626,1120.7274169921875
Lunches,XGBoost,11.40631313131313,1122.186279296875
Lunches,XGBoost,11.686363636363637,1141.16015625
Lunches,XGBoost,11.966414141414141,1114.5299072265625
Lunches,XGBoost,12.246464646464647,1128.0767822265625
Lunches,XGBoost,12.526515151515152,1120.046630859375
Lunches,XGBoost,12.806565656565656,1119.13720703125
Lunches,XGBoost,13.086616161616162,1123.6807861328125
Lunches,XGBoost,13.366666666666667,1141.2127685546875
