Dataset,Model,15 Job count,Predicted Value
Mornings,LightGBM,210415.58585858584,729.0483051384059
Mornings,LightGBM,213045.63636363635,731.76796272762
Mornings,LightGBM,215675.68686868684,742.7314157826751
Mornings,LightGBM,218305.73737373736,742.7402184927956
Mornings,LightGBM,220935.78787878787,749.8200299178955
Mornings,LightGBM,223565.83838383836,747.7172411956124
Mornings,LightGBM,226195.88888888888,744.2612978125478
Mornings,LightGBM,228825.9393939394,743.9111925125904
Mornings,LightGBM,231455.98989898988,743.2826795482923
Mornings,LightGBM,234086.0404040404,743.7395034490887
Mornings,LightGBM,236716.09090909088,743.5910040709343
Mornings,LightGBM,239346.1414141414,740.527917337922
Mornings,LightGBM,241976.19191919192,741.8016016743878
Mornings,LightGBM,244606.2424242424,749.3044703810795
Mornings,LightGBM,247236.29292929292,745.979274342537
Mornings,LightGBM,249866.3434343434,737.7784601764049
Mornings,LightGBM,252496.39393939392,750.2255554056234
Mornings,LightGBM,255126.44444444444,752.9908987056792
Mornings,LightGBM,257756.49494949493,752.2927722923799
Mornings,LightGBM,260386.54545454544,752.6708295850548
Mornings,LightGBM,263016.5959595959,752.8122029742218
Mornings,LightGBM,265646.64646464644,753.0597629868729
Mornings,LightGBM,268276.69696969696,753.0757848819659
Mornings,LightGBM,270906.7474747475,753.0757848819659
Mornings,LightGBM,273536.79797979794,753.0757848819659
Mornings,LightGBM,276166.84848484845,753.0757848819659
Mornings,LightGBM,278796.89898989897,755.1113525064821
Mornings,LightGBM,281426.9494949495,755.1113525064821
Mornings,LightGBM,284057.0,755.1113525064821
Mornings,XGBoost,23682.0,1074.9716796875
Mornings,XGBoost,26312.050505050505,1074.9716796875
Mornings,XGBoost,28942.10101010101,1075.0030517578125
Mornings,XGBoost,31572.151515151512,1075.0020751953125
Mornings,XGBoost,34202.20202020202,1075.0020751953125
Mornings,XGBoost,36832.25252525252,1075.0020751953125
Mornings,XGBoost,39462.303030303025,1075.9658203125
Mornings,XGBoost,42092.35353535353,1078.205078125
Mornings,XGBoost,44722.40404040404,1078.205078125
Mornings,XGBoost,47352.454545454544,1079.290283203125
Mornings,XGBoost,49982.505050505046,1079.290283203125
Mornings,XGBoost,52612.555555555555,1079.41845703125
Mornings,XGBoost,55242.60606060606,1079.424560546875
Mornings,XGBoost,57872.656565656565,1080.464111328125
Mornings,XGBoost,60502.70707070707,1080.464111328125
Mornings,XGBoost,63132.757575757576,1080.464111328125
Mornings,XGBoost,65762.80808080808,1080.464111328125
Mornings,XGBoost,68392.85858585857,1080.464111328125
Mornings,XGBoost,71022.90909090909,1080.464111328125
Mornings,XGBoost,73652.95959595959,1080.4500732421875
Mornings,XGBoost,76283.01010101009,1080.0811767578125
Mornings,XGBoost,78913.06060606061,1080.0811767578125
Mornings,XGBoost,81543.11111111111,1080.0811767578125
Mornings,XGBoost,84173.16161616161,1080.0811767578125
